NC_011399	NC_011399.1	8929	Ralstonia phage RSM3	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	AB434711	Ralstonia solanacearum	Ralstonia
NC_011421	NC_011421.1	132562	Bacillus phage SPO1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Spounalikevirus.	FJ230960	Bacillus subtilis	Bacillus
NC_011523	NC_011523.1	14398	Bacillus phage AP50	Viruses; dsDNA viruses, no RNA stage; Tectiviridae; Tectivirus.	EU408779	Bacillus anthracis	Bacillus
NC_011534	NC_011534.1	39472	Kluyvera phage Kvp1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	FJ194439	Kluyvera cryocrescens	Kluyvera
NC_011551	NC_011551.1	39867	Bacteriophage APSE-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	EU794049	Candidatus Hamiltonella defensa	Candidatus Hamiltonella
NC_011589	NC_011589.1	40287	Stenotrophomonas phage S1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU849489	Stenotrophomonas maltophilia	Stenotrophomonas
NC_011611	NC_011611.1	36885	Pseudomonas phage MP38	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	EU272037	Pseudomonas aeruginosa PA14	Pseudomonas
NC_011612	NC_011612.1	45344	Staphylococcus phage phiSauS-IPLA35	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU861005	Staphylococcus aureus	Staphylococcus
NC_011613	NC_011613.1	36632	Pseudomonas phage MP29	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU272036	Pseudomonas aeruginosa PA14	Pseudomonas
NC_011614	NC_011614.1	42526	Staphylococcus phage phiSauS-IPLA88	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU861004	Staphylococcus aureus	Staphylococcus
NC_011645	NC_011645.1	37456	Bacillus phage TP21-L	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU887664	Bacillus	Bacillus
NC_011703	NC_011703.1	66235	Pseudomonas phage 14-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FM897211	Pseudomonas	Pseudomonas
NC_011756	NC_011756.1	66390	Pseudomonas phage SN	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FM887021	Pseudomonas aeruginosa	Pseudomonas
NC_011801	NC_011801.1	38934	Lactobacillus phage Lv-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU871039	Lactobacillus jensenii	Lactobacillus
NC_011802	NC_011802.1	41941	Salmonella phage SE1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	DQ003260	Salmonella enterica	Salmonella
NC_011810	NC_011810.1	65764	Pseudomonas phage PB1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	EU716414	Pseudomonas aeruginosa	Pseudomonas
NC_011811	NC_011811.1	84576	Erwinia phage phiEa21-4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	EU710883	Erwinia amylovora	Erwinia
NC_011976	NC_011976.1	43016	Salmonella phage epsilon34	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	EU570103	Salmonella enterica subsp. enterica serovar Anatum	Salmonella
NC_012027	NC_012027.1	69378	Mycobacterium phage Phlyer	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ641182	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_012091	NC_012091.2	6501	Pseudomonas phage phi2954	Viruses; dsRNA viruses; Cystoviridae.	FJ608823	Pseudomonas syringae	Pseudomonas
NC_012092	NC_012092.1	3606	Pseudomonas phage phi2954	Viruses; dsRNA viruses; Cystoviridae.	FJ608824	Pseudomonas syringae	Pseudomonas
NC_012093	NC_012093.1	2578	Pseudomonas phage phi2954	Viruses; dsRNA viruses; Cystoviridae.	FJ608825	Pseudomonas syringae	Pseudomonas
NC_012223	NC_012223.2	44899	Enterobacteria phage SSL-2009a	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ750948	Escherichia coli	Escherichia
NC_012418	NC_012418.1	43152	Pseudomonas phage phikF77	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	FN263372	Pseudomonas aeruginosa	Pseudomonas
NC_012419	NC_012419.1	21115	Enterococcus phage EFAP-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ792813	Enterococcus faecalis	Enterococcus
NC_012530	NC_012530.1	142111	Lactobacillus phage Lb338-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FJ822135	Lactobacillus	Lactobacillus
NC_012662	NC_012662.1	43931	Vibrio phage VP93	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	FJ896200	Vibrio parahaemolyticus PMC57.5	Vibrio
NC_012663	NC_012663.1	60074	Lactococcus phage P087	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ429185	Lactococcus lactis	Lactococcus
NC_012696	NC_012696.1	73325	Sulfitobacter phage EE36phi1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	FJ591094	Sulfitobacter sp. EE-36	Sulfitobacter
NC_012697	NC_012697.1	74611	Silicibacter phage DSS3phi2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	FJ591093	Ruegeria pomeroyi DSS-3	Ruegeria
NC_012740	NC_012740.1	166418	Enterobacteria phage JSE	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	EU863408	Escherichia coli K12	Escherichia
NC_012741	NC_012741.1	171451	Enterobacteria phage JS10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	EU863409	Escherichia coli K12	Escherichia
NC_012742	NC_012742.1	44080	Xanthomonas phage phiL7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	EU717894	Xanthomonas campestris pv. campestris	Xanthomonas
NC_012743	NC_012743.2	62715	Burkholderia phage BcepIL02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	FJ937737	Burkholderia cenocepacia	Burkholderia
NC_012749	NC_012749.1	88487	Escherichia phage wV8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	EU877232	Escherichia coli O157:H7	Escherichia
NC_012753	NC_012753.1	37184	Streptococcus phage 5093	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ965538	Streptococcus thermophilus CSK939	Streptococcus
NC_012756	NC_012756.1	31276	Streptococcus phage PH10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FN391954	Streptococcus oralis	Streptococcus
NC_012757	NC_012757.1	6842	Vibrio phage VEJphi	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	FJ904927	Vibrio cholerae	Vibrio
NC_012784	NC_012784.1	44492	Staphylococcus phage phiPVL-CN125	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	FJ713816	Staphylococcus aureus CN125	Staphylococcus
NC_012788	NC_012788.1	41441	Mycobacterium phage Angel	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ973624	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_012868	NC_012868.1	6094	Enterobacteria phage St-1	Viruses; ssDNA viruses; Microviridae; Microvirus.	GQ149088	Escherichia coli strain K12	Escherichia
NC_012884	NC_012884.1	31147	Streptococcus phage M102	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	AM749121	Streptococcus	Streptococcus
NC_013021	NC_013021.1	107530	Cyanophage PSS2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ334450	Prochlorococcus marinus str. MIT 9313	Prochlorococcus
NC_013055	NC_013055.1	39896	Burkholderia phage KS9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	FJ982340	Burkholderia pyrrocinia strain LMG 21824	Burkholderia
NC_013059	NC_013059.1	40975	Salmonella phage g341c	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	FJ000341	Salmonella enterica subsp. enterica serovar Anatum	Salmonella
NC_013085	NC_013085.1	194454	Synechococcus phage S-RSM4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	FM207411	Synechococcus	Synechococcus
NC_013195	NC_013195.1	40761	Staphylococcus phage P954	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ398772	Staphylococcus aureus	Staphylococcus
NC_013197	NC_013197.1	17036	Thermus phage P23-77	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	GQ403789	Thermus thermophilus	Thermus
NC_013594	NC_013594.1	37235	Escherichia phage D108	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Mulikevirus; unclassified Mu-like viruses.	GQ357916	Escherichia coli	Escherichia
NC_013597	NC_013597.1	43970	Aggregatibacter phage S1249	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GQ866233	Aggregatibacter actinomycetemcomitans D11S-1	Aggregatibacter
NC_013598	NC_013598.1	35525	Streptococcus phage ALQ13.2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ226752	Streptococcus thermophilus	Streptococcus
NC_013599	NC_013599.1	36674	Xylella phage Xfas53	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	GQ421471	Xylella fastidiosa	Xylella
NC_013600	NC_013600.1	45169	Sodalis phage SO-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ502199	Sodalis glossinidius	Sodalis
NC_013638	NC_013638.1	43144	Pseudomonas phage phi-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	FN594518	Pseudomonas fluorescens SBW25	Pseudomonas
NC_013643	NC_013643.1	36270	Enterococcus phage phiFL2A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ478084	Enterococcus faecalis	Enterococcus
NC_013644	NC_013644.1	37856	Enterococcus phage phiFL4A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ478088	Enterococcus faecalis	Enterococcus
NC_013645	NC_013645.1	34882	Streptococcus phage Abc2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ236310	Streptococcus thermophilus	Streptococcus
NC_013646	NC_013646.1	38764	Enterococcus phage phiFL1A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ478081	Enterococcus faecalis	Enterococcus
NC_013647	NC_013647.1	41119	Klebsiella phage KP32	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	GQ413937	Klebsiella pneumoniae	Klebsiella
NC_013648	NC_013648.1	39576	Enterococcus phage phiFL3A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ478086	Enterococcus faecalis	Enterococcus
NC_013649	NC_013649.2	43809	Klebsiella phage KP34	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	GQ413938	Klebsiella pneumoniae	Klebsiella
NC_013650	NC_013650.1	155445	Mycobacterium phage ET08	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;I3likevirus; unclassified I3-like viruses.	GQ303260	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_013651	NC_013651.1	38497	Vibrio phage N4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	FJ409640	Vibrio	Vibrio
NC_013691	NC_013691.1	74901	Pseudomonas phage LUZ7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	FN422398	Pseudomonas aeruginosa	Pseudomonas
NC_013692	NC_013692.1	72544	Pseudomonas phage LIT1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	FN422399	Pseudomonas aeruginosa	Pseudomonas
NC_013693	NC_013693.1	158006	Shigella phage Ag3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FJ373894	Shigella boydii	Shigella
NC_013694	NC_013694.1	51376	Mycobacterium phage Peaches	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ303263	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_013696	NC_013696.1	42822	Enterococcus phage phiEf11	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ452243	Enterococcus faecalis	Enterococcus
NC_013697	NC_013697.1	157486	Deftia phage phiW-14	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GQ357915	Delftia acidovorans	Delftia
NC_013698	NC_013698.1	58652	Clavibacter phage CMP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GQ241246	Clavibacter michiganensis subsp. michiganensis	Clavibacter
NC_013936	NC_013936.1	52141	Mycobacterium phage Ardmore	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	GU060500	Mycobacterium smegmatis	Mycobacterium
NC_014036	NC_014036.1	174436	Klebsiella phage KP15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	GU295964	Klebsiella pneumoniae	Klebsiella
NC_014229	NC_014229.1	37068	Streptomyces phage phiSASD1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Phic3unalikevirus; unclassified Phic3unalikevirus.	GQ379227	Streptomyces avermitilis	Streptomyces
NC_014260	NC_014260.1	172253	Enterobacteria phage IME08	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM071924	Escherichia coli strain 8099	Escherichia
NC_014457	NC_014457.1	59199	Clostridium phage phiCTP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM159959	Clostridium	Clostridium
NC_014458	NC_014458.1	59598	Mycobacterium phage Angelica	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM152764	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_014459	NC_014459.1	59798	Mycobacterium phage CrimD	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM152767	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_014460	NC_014460.1	41207	Staphylococcus phage SAP-26	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GU477322	Staphylococcus aureus	Staphylococcus
NC_014461	NC_014461.1	73453	Mycobacterium phage LeBron	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM152763	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_014467	NC_014467.1	176788	Enterobacteria phage RB16	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM134276	Escherichia coli	Escherichia
NC_014595	NC_014595.1	170605	Shigella phage SP18	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	GQ981382	Shigella sonnei	Shigella
NC_014635	NC_014635.1	163875	Aeromonas phage phiAS4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM452125	Aeromonas salmonicida	Aeromonas
NC_014636	NC_014636.1	225268	Aeromonas phage phiAS5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM452126	Aeromonas salmonicida	Aeromonas
NC_014660	NC_014660.1	167716	Acinetobacter phage Ac42	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM032710	Acinetobacter	Acinetobacter
NC_014661	NC_014661.1	164093	Acinetobacter phage Acj61	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	GU911519	Acinetobacter johnsonii	Acinetobacter
NC_014662	NC_014662.1	165540	Enterobacteria phage CC31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	GU323318	Escherichia coli	Escherichia
NC_014663	NC_014663.1	169947	Acinetobacter phage Acj9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM004124	Acinetobacter johnsonii	Acinetobacter
NC_014792	NC_014792.1	169285	Enterobacteria phage vB_EcoM-VR7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM563683	Escherichia coli	Escherichia
NC_014900	NC_014900.1	40986	Salmonella phage ST160	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;P22likevirus.	GU573886	Salmonella enterica serovar Typhimurium	Salmonella
NC_014901	NC_014901.1	59230	Mycobacterium phage Wee	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HQ728524	Mycobacterium smegmatis mc2155	Mycobacterium
NC_015157	NC_015157.1	125956	Vibrio phage ICP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	HQ641347	Vibrio cholerae	Vibrio
NC_015158	NC_015158.1	49675	Vibrio phage ICP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	HQ641345	Vibrio cholerae	Vibrio
NC_015159	NC_015159.1	39162	Vibrio phage ICP3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	HQ641340	Vibrio cholerae	Vibrio
NC_015208	NC_015208.1	39562	Pseudomonas phage phi15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	FR823298	Pseudomonas	Pseudomonas
NC_015209	NC_015209.1	10638	Vibrio phage CTX	Viruses; ssDNA viruses; Inoviridae; Inovirus.	HQ224500	Vibrio cholerae KMN002	Vibrio
NC_015210	NC_015210.1	61440	Tsukamurella phage TPA2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM486077	Tsukamurella paurometabola	Tsukamurella
NC_015249	NC_015249.1	39270	Enterobacteria phage 285P	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	GQ468526	Escherichia coli	Escherichia
NC_015250	NC_015250.1	159801	Acinetobacter phage 133	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM114315	Acinetobacter johnsonii	Acinetobacter
NC_015251	NC_015251.1	235229	Aeromonas phage 65	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	GU459069	Aeromonas salmonicida	Aeromonas
NC_015252	NC_015252.1	36953	Brochothrix phage NF5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM144385	Brochothrix thermosphacta	Brochothrix
NC_015253	NC_015253.1	127065	Brochothrix phage A9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; unclassified Spounavirinae.	HM242243	Brochothrix thermosphacta HER1187	Brochothrix
NC_015254	NC_015254.1	41518	Brochothrix phage BL3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM144386	Brochothrix thermosphacta	Brochothrix
NC_015262	NC_015262.1	37664	Clostridium phage phiCD6356	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GU949551	Clostridium difficile	Clostridium
NC_015263	NC_015263.1	114768	Lactococcus phage 949	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM029250	Lactococcus lactis strain ML8	Lactococcus
NC_015264	NC_015264.1	40973	Pseudomonas phage phiIBB-PF7A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	GU583987	Pseudomonas fluorescens	Pseudomonas
NC_015265	NC_015265.1	37236	Burkholderia phage KS5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	GU911303	Burkholderia cenocepacia strain C6433	Burkholderia
NC_015266	NC_015266.1	40555	Burkholderia phage KL3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	GU911304	Burkholderia ambifaria strain LMG 17828	Burkholderia
NC_015269	NC_015269.1	118351	Enterobacteria phage SPC35	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;T5likevirus; unclassified T5likevirus.	HQ406778	Salmonella Typhimurium; Escherichia coli	Salmonella
NC_015270	NC_015270.1	16945	Enterococcus phage EFRM31	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GU815339	Enterococcus faecalis	Enterococcus
NC_015271	NC_015271.1	38368	Salmonella phage Vi06	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	FR667955	Salmonella enterica subsp. enterica serovar Typhi	Salmonella
NC_015272	NC_015272.2	88322	Pseudomonas phage KPP10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	AB472900	Pseudomonas	Pseudomonas
NC_015273	NC_015273.1	32317	Burkholderia phage KS14	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	HM461982	Burkholderia cenocepacia C6433	Burkholderia
NC_015274	NC_015274.1	56506	Streptococcus phage Dp-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HQ268735	Streptococcus pneumoniae strain R6	Streptococcus
NC_015279	NC_015279.1	190789	Synechococcus phage S-SM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071095	Synechococcus sp. WH8017	Synechococcus
NC_015280	NC_015280.1	181044	Prochlorococcus phage P-HM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071101	Prochlorococcus sp. MED4	Prochlorococcus
NC_015281	NC_015281.1	179563	Synechococcus phage S-ShM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071096	Synechococcus sp. WH8102	Synechococcus
NC_015282	NC_015282.1	174079	Synechococcus phage S-SM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071094	Synechococcus sp. WH6501	Synechococcus
NC_015283	NC_015283.1	176428	Prochlorococcus phage P-RSM4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071099	Prochlorococcus sp. MIT9303	Prochlorococcus
NC_015284	NC_015284.1	183806	Prochlorococcus phage P-HM2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU075905	Prochlorococcus sp. MED4	Prochlorococcus
NC_015285	NC_015285.1	174285	Prochlorococcus phage Syn33	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	GU071108	Synechococcus sp. WH7803	Synechococcus
NC_015286	NC_015286.1	175230	Synechococcus phage Syn19	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071106	Synechococcus sp. WH8109	Synechococcus
NC_015287	NC_015287.1	232878	Synechococcus phage S-SSM7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071098	Synechococcus sp. WH8109	Synechococcus
NC_015288	NC_015288.1	191195	Prochlorococcus phage Syn1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	GU071105	Synechococcus sp. WH8101	Synechococcus
NC_015289	NC_015289.1	176184	Synechococcus phage S-SSM5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071097	Synechococcus sp. WH8102	Synechococcus
NC_015290	NC_015290.1	182180	Prochlorococcus phage P-SSM7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU071103	Prochlorococcus sp. NATL1A	Prochlorococcus
NC_015292	NC_015292.1	84565	Erwinia phage phiEa104	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FQ482083	Erwinia	Erwinia
NC_015293	NC_015293.1	30651	Pseudoalteromonas phage H105/1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM588722	Pseudoalteromonas sp. H105	Pseudoalteromonas
NC_015294	NC_015294.2	93198	Pseudomonas phage PAK_P1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	KC862297	Pseudomonas aeruginosa PAK	Pseudomonas
NC_015295	NC_015295.1	47279	Erwinia phage phiEt88	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FQ482085	Erwinia	Erwinia
NC_015296	NC_015296.1	157061	Salmonella phage ViI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	FQ312032	Salmonella enterica subsp. enterica serovar Typhi	Salmonella
NC_015297	NC_015297.1	5475	Ralstonia phage PE226	Viruses; ssDNA viruses; Inoviridae; unclassified Inoviridae.	HM064452	Ralstonia solanacearum	Ralstonia
NC_015453	NC_015453.1	29017	Propionibacterium phage PAS50	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ706172	Propionibacterium	Propionibacterium
NC_015454	NC_015454.1	29074	Propionibacterium phage PAD20	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	FJ706171	Propionibacterium	Propionibacterium
NC_015456	NC_015456.1	50661	Shigella phage Shfl1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus.	HM035024	Shigella flexneri	Shigella
NC_015457	NC_015457.1	165919	Shigella phage Shfl2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	HM035025	Shigella flexneri	Shigella
NC_015463	NC_015463.1	72332	Synechococcus phage S-CBS2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GU936714	Synechococcus sp. CB0204	Synechococcus
NC_015464	NC_015464.1	135041	Campylobacter phage NCTC12673	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	GU296433	Campylobacter jejuni	Campylobacter
NC_015465	NC_015465.1	33004	Synechococcus phage S-CBS3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	GU936715	Synechococcus sp. CB0202	Synechococcus
NC_015466	NC_015466.1	62668	Roseobacter phage RDJL Phi 1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM151342	Roseobacter denitrificans OCh114	Roseobacter
NC_015568	NC_015568.1	41090	Clostridium phage phiCD38-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	HM568888	Clostridium difficile	Clostridium
NC_015569	NC_015569.1	178563	Synechococcus phage S-CRM01	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	HQ615693	Synechococcus sp. LC16	Synechococcus
NC_015584	NC_015584.1	75960	Mycobacterium phage Faith1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	JF744988	Mycobacterium smegmatis mc2 155	Mycobacterium
NC_015585	NC_015585.1	43032	Pantoea phage LIMEzero	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	FR751545	Pantoea agglomerans	Pantoea
