Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
NC_019403	Enterobacteria phage vB_EcoP_ACG-C91	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified Sp6likevirus.	Escherichia	Escherichia coli	yes	no	NC_019403
NC_019404	Enterobacteria phage vB_EcoS_ACG-M12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	Escherichia	Escherichia coli	yes	no	NC_019404
NC_019406	Caulobacter phage CcrColossus	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019406
NC_019407	Caulobacter phage CcrMagneto	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019407
NC_019408	Caulobacter phage CcrRogue	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019408
NC_019411	Caulobacter phage CcrSwift	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019407
NC_019414	Streptomyces phage R4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptomyces	Streptomyces coelicolor	yes	no	JX262376
NC_019416	Stenotrophomonas phage IME15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Stenotrophomonas	Stenotrophomonas maltophilia	yes	no	NC_019416
NC_019418	Streptococcus phage phiNJ2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus suis	yes	no	NC_019418
NC_019419	Enterobacteria phage JL1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Escherichia	Escherichia coli	yes	no	NC_019419
NC_019421	Clostridium phage phiMMP02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Clostridium	Clostridium difficile	yes	no	NC_019421
NC_019422	Clostridium phage phiMMP04	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Clostridium	Clostridium difficile	yes	no	NC_019422
NC_019423	Enterobacter phage IME11	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Escherichia	Escherichia coli	yes	no	NC_019423
NC_019451	Pseudomonas phage NH-4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_011166
NC_019452	Escherichia phage PhaxI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	NC_019452
NC_019453	Caulobacter phage phiCb5	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;unclassified Leviviridae.	Caulobacter	Caulobacter crescentus	yes	no	NC_019453
NC_019454	Pantoea phage LIMElight	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae.	Pantoea	Pantoea agglomerans	yes	no	NC_019454
NC_019457	Vibrio phage CP-T1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	yes	no	NC_019457
NC_019489	Lactobacillus phage Sha1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus	yes	no	NC_019489
NC_019500	Enterobacteria phage Bp7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	NC_019500
NC_019501	Enterobacteria phage IME10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	JN600960
NC_019502	Bacillus phage phIS3501	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus thuringiensis	yes	no	NC_019502
NC_019504	Erwinia phage vB_EamM-Y2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Erwinia	Erwinia amylovora	yes	no	NC_019504
NC_019505	Escherichia phage wV7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Escherichia	Escherichia coli	yes	no	AP011113
NC_019506	Clostridium phage phiCP13O	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium perfringens	yes	no	NC_019506
NC_019507	Campylobacter phage CP21	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Campylobacter	Campylobacter	yes	no	NC_019507
NC_019509	Cronobacter phage ESP2949-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus.	Cronobacter	Cronobacter sakazakii	yes	no	NC_019509
NC_019510	Erwinia phage vB_EamP-L1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Erwinia	Erwinia amylovora	yes	no	NC_019510
NC_019511	Staphylococcus phage SA11	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Staphylococcus	Staphylococcus aureus	yes	no	NC_019511
NC_019514	Erwinia phage vB_EamP-S6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Erwinia	Erwinia amylovora	yes	no	NC_019514
NC_019515	Bacillus phage BCD7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus cereus	yes	no	NC_019515
NC_019516	Cyanophage S-TIM5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	NC_019516
NC_019517	Enterobacteria phage vB_EcoM-FV3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	NC_019517
NC_019518	Vibrio phage vB_VchM-138	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio cholerae	yes	no	NC_019518
NC_019523	Clostridium phage phi24R	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unassigned Picovirinae.	Clostridium	Clostridium perfringens	yes	no	NC_019523
NC_019525	Bdellovibrio phage phi1422	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bdellovibrio	Bdellovibrio bacteriovorus	yes	no	NC_019525
NC_019526	Enterobacteria phage vB_KleM-RaK2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Klebsiella	Klebsiella	yes	no	NC_019526
NC_019528	Aeromonas phage phiAS7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unassigned Autographivirinae.	Aeromonas	Aeromonas salmonicida	yes	no	NC_019528
NC_019529	Vibrio phage pVp-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;T5likevirus; unclassified T5likevirus.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_019529
NC_019530	Salmonella phage PhiSH19	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Salmonella	Salmonella enterica	yes	no	NC_019530
NC_019538	Aeromonas phage CC2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas hydrophila	yes	no	NC_019538
NC_019541	Acinetobacter phage Bphi-B1251	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Acinetobacter	Acinetobacter baumannii	yes	no	NC_019541
NC_019543	Aeromonas phage Aes508	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas salmonicida	yes	no	NC_019543
NC_019545	Salmonella phage SPN3UB	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_019545
NC_019548	Ralstonia phage RSS0	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Ralstonia	Ralstonia solanacearum	yes	no	NC_008575
NC_019549	Liberibacter phage SC1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Candidatus Liberibacter	Candidatus Liberibacter asiaticus	yes	no	NC_019549
NC_019704	Enterobacteria phage mEp237	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019704
NC_019705	Enterobacteria phage mEpX2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019705
NC_019706	Enterobacteria phage mEp043 c-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019706
NC_019707	Enterobacteria phage M	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;unclassified Leviviridae.	Escherichia	Escherichia coli	yes	no	NC_019707
NC_019709	Enterobacteria phage mEpX1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019709
NC_019710	Enterobacteria phage HK140	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019710
NC_019711	Enterobacteria phage HK629	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019711
NC_019713	Vibrio phage vB_VpaS_MAR10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_019713
NC_019714	Enterobacteria phage HK446	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019714
NC_019715	Enterobacterial phage mEp234	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019715
NC_019716	Enterobacteria phage mEp460	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019716
NC_019719	Enterobacteria phage HK633	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019719
NC_019720	Enterobacterial phage mEp213	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019706
NC_019723	Enterobacteria phage HK630	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Lambdalikevirus; unclassified Lambda-like viruses.	Escherichia	Escherichia coli	yes	no	NC_019711
NC_019724	Enterobacteria phage HK578	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Escherichia	Escherichia coli	yes	no	NC_019724
NC_019767	Enterobacteria phage HK544	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	NC_019767
NC_019768	Enterobacteria phage HK106	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	NC_019715
NC_019769	Enterobacteria phage HK542	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	NC_019769
NC_019911	Yersinia phage phi80-18	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified Autographivirinae.	Yersinia	Yersinia enterocolitica	yes	no	NC_019911
NC_019914	Staphylococcus phage StB27	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus hominis	yes	no	NC_019914
NC_019917	Burkholderia phage BcepMigl	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Burkholderia	Burkholderia cenocepacia	yes	no	NC_019917
NC_019918	Pseudomonas phage vB_PaeM_C2-10_Ab1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_019918
NC_019919	Yersinia phage phiR201	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Yersinia	Yersinia enterocolitica	yes	no	NC_019919
NC_019925	Dickeya phage Limestone	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Dickeya	Dickeya solani	yes	no	KJ716335
NC_019927	Cronobacter phage ENT47670	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Cronobacter	Cronobacter sakazakii	yes	no	NC_019927
NC_019929	Erwinia phage phiEaH2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Erwinia	Erwinia amylovora	yes	no	NC_019929
NC_019931	Helicobacter phage KHP40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Helicobacter	Helicobacter pylori	yes	no	NC_019931
NC_019932	Erwinia phage ENT90	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Erwinia	Erwinia amylovora	yes	no	NC_019932
NC_019934	Cronobacter phage ENT39118	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Cronobacter	Cronobacter sakazakii	yes	no	NC_019934
NC_019935	Pseudomonas phage KPP12	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas aeruginosa	yes	no	NC_019935
NC_020079	Escherichia phage phAPEC8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Escherichia	Escherichia coli	yes	no	NC_020079
NC_020080	Klebsiella phage KP27	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Klebsiella	Klebsiella pneumoniae	yes	no	NC_014036
NC_020081	Bacillus phage phiAGATE	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Bacillus	Bacillus pumilus	yes	no	NC_020081
NC_020201	Pectobacterium phage phiTE	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pectobacterium	Pectobacterium atrosepticum	yes	no	NC_020201
NC_020204	Klebsiella phage JD001	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Klebsiella	Klebsiella pneumoniae	yes	no	KJ021043
NC_020205	Xanthomonas citri phage CP2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Xanthomonas	Xanthomonas citri	yes	no	NC_020205
NC_020416	Salmonella phage S16	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Salmonella	Salmonella enterica	yes	no	NC_020416
NC_020477	Bacillus phage Eoghan	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus pumilus	yes	no	KC330682
NC_020478	Bacillus phage Andromeda	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus pumilus	yes	no	KC330681
NC_020480	Bacillus phage Finn	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus pumilus	yes	no	NC_020480
NC_020482	Pelagibacter phage HTVC011P	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Candidatus Pelagibacter	Candidatus Pelagibacter ubique	yes	no	6666666.43251
NC_020483	Pelagibacter phage HTVC019P	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Candidatus Pelagibacter	Candidatus Pelagibacter ubique	yes	no	6666666.43249
NC_020486	Synechococcus phage S-RIM8 A.HR1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	HQ317385
NC_020489	Rhodobacter phage RcapNL	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Rhodobacter	Rhodobacter capsulatus	yes	no	NC_020489
NC_020841	Psychrobacter phage pOW20-A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Psychrobacter	Psychrobacter	yes	no	NC_020841
NC_020842	Cellulophaga phage phiST	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Cellulophaga	Cellulophaga	yes	no	6666666.43267
NC_020843	Vibrio phage 11895-B1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Vibrio	Vibrio	yes	no	NC_020843
NC_020846	Vibrio phage pYD21-A	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio	yes	no	NC_020846
NC_020848	Vibrio phage VBP47	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_020848
NC_020849	Pseudoalteromonas phage pYD6-A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Pseudoalteromonas	Pseudoalteromonas	yes	no	NC_020849
NC_020858	Sulfitobacter phage pCB2047-A	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Sulfitobacter	Sulfitobacter	yes	no	NC_020856
NC_020859	Synechococcus phage S-RIM2 R1_1999	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	HQ317290
NC_020860	Cellulophaga phage phiSM	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Cellulophaga	Cellulophaga	yes	no	6666666.43257
NC_020868	Vibrio phage VBP32	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Vibrio	Vibrio parahaemolyticus	yes	no	NC_020848
NC_020874	Prochlorococcus phage P-SSP3	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_016656
NC_020876	Mycobacterium phage First	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_020876
NC_020878	Prochlorococcus phage P-GSP1	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_020878
NC_020879	Aeromonas phage Aes012	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Aeromonas	Aeromonas	yes	no	NC_020879
NC_021061	Mycobacterium phage Butters	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	NC_021061
NC_021062	Pseudomonas phage Phi-S1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Pseudomonas	Pseudomonas fluorescens	yes	no	NC_021062
NC_021067	Vibrio phage helene 12B3	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio splendidus	yes	no	NC_021067
NC_021070	Vibrio phage martha 12B12	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio splendidus	yes	no	NC_021070
NZ_ACSJ01000014	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000014
NZ_ACSJ01000015	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000015
NZ_ACSJ01000017	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000017
NZ_ACSJ01000019	Clostridium phage D-1873	Viruses; unclassified phages.	Clostridium	Clostridium botulinum	yes	no	NZ_ACSJ01000019
10757.3	Bacteriophage PZA (from B.subtilis), complete genome.	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; Phi29-like viruses; Bacillus phage phi29.	Bacillus	Bacillus subtilis	no	yes	10757.3
6666666.13472	Mycobacterium phage Maverick Mycobacterium-phage-Maverick	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
6666666.17469	Mycobacterium-phage-Nelitza	.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
6666666.19976	Mycobacterium phage Ovechkin	.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.19976
6666666.3709	Mycophage Bask21	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
6666666.3715	Mycophage BPBiebs31	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3715
6666666.3758	Mycophage Dori	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3758
6666666.3762	Mycophage DS6A	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3762
6666666.3774	Mycophage Gumbie	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3774
6666666.3779	Mycophage Henry	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
6666666.3789	Mycophage JHC117	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
6666666.3800	Mycophage Larva	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3800
6666666.3809	Mycophage Microwolf	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
6666666.3810	Mycophage Mozy	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3810
6666666.3813	Mycophage Nappy	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
6666666.3823	Mycophage PackMan	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3823
6666666.3837	Mycophage Rakim	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
6666666.3839	Mycophage RedRock	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3839
6666666.3842	Mycophage RockyHorror	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3842
6666666.3845	Mycophage Sebata	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
6666666.3848	Mycophage Shaka	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
6666666.3855	Mycophage Thibault	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3855
6666666.3857	Mycophage Toto	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.17469
6666666.3862	Mycophage Violet	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3862
6666666.3864	Mycophage Vix	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3789
6666666.3871	Mycophage Yoshi	Viruses.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3871
6666666.3885	Mycophage Pio	Virus.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
6666666.3888	Mycophage LRRHood	Virus.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3813
6666666.3892	Mycophage Eagle	Virus.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.13472
6666666.43247	Pelagibacter phage HTVC010P	.	Candidatus Pelagibacter	Candidatus Pelagibacter	no	yes	6666666.43247
6666666.43255	Cellulophaga phage phi18:4	.	Cellulophaga	Cellulophaga	no	yes	6666666.43255
6666666.43256	Cellulophaga phage phi48:1	.	Cellulophaga	Cellulophaga	no	yes	6666666.43255
6666666.43259	Cellulophaga phage phi40:1	.	Cellulophaga	Cellulophaga	no	yes	6666666.43259
AB746912	Nitratiruptor phage NrS-1	Viruses; unclassified phages.	Nitratiruptor	Nitratiruptor	no	yes	AB746912
AB981169	Ralstonia phage RSY1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Ralstonia	Ralstonia solanacearum	no	yes	AB981169
AY583235	Mycoplasma phage phiMFV1	Viruses; unclassified phages.	Mycoplasma	Mycoplasma	no	yes	AY583235
DQ079870	Enterobacteria phage ID21	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079870
DQ079879	Enterobacteria phage NC29	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079879
DQ079883	Enterobacteria phage ID45	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079885	Enterobacteria phage NC5	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079888	Enterobacteria phage NC16	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079889	Enterobacteria phage NC37	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079890	Enterobacteria phage NC41	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079891	Enterobacteria phage NC51	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079892	Enterobacteria phage NC56	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079883
DQ079894	Enterobacteria phage WA10	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	DQ079894
DQ079899	Enterobacteria phage WA5	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	310953.3
DQ079901	Enterobacteria phage NC13	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	310953.3
DQ079903	Enterobacteria phage ID41	Viruses; ssDNA viruses; Microviridae; Microvirus.	Escherichia	Escherichia coli; Salmonella enterica	no	yes	310953.3
DQ426905	Mannheimia phage phiMhaA1-BAA410	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; P2likevirus.	Mannheimia	Mannheimia haemolytica	no	yes	DQ426905
FN667789	Campylobacter phage CPt10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Campylobacter	Campylobacter	no	yes	FN667789
GQ451696	Leuconostoc phage 1-A4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Leuconostoc	Leuconostoc mesenteroides	no	yes	GQ451696
GU323708	Lactobacillus phage phiPYB5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus fermentum	no	yes	GU323708
GU339467	Mycobacterium phage RedRock	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	no	yes	6666666.3839
GU967410	Lactobacillus phage LBR48	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Lactobacillus	Lactobacillus	no	yes	GU967410
HE614282	Bacillus phage BceA1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus thuringiensis	no	yes	HE614282
